,Close,Open,High,Low,Volume,Market Cap,Close_box,Diff,Diff_2,forecast,forecast_shift,trade_call
2017-11-30,8842.844680015538,,,,,,,,,1.0,,-1
2017-12-31,15191.02957712358,,,,,,,,,8842.844763730953,1.0,-1
2018-01-31,13027.788728117257,,,,,,,,,15191.029660474083,8842.844763730953,-1
2018-02-28,9464.683881208357,,,,,,,,,13027.788759892814,15191.029660474083,1
2018-03-31,9029.818633431709,,,,,,,,,9464.6838894991,13027.788759892814,1
2018-04-30,8017.9198094891,,,,,,,,,9029.81863666578,9464.6838894991,1
2018-05-31,8448.526916074581,,,,,,,,,8017.919809774953,9029.81863666578,1
2018-06-30,6768.222014605167,,,,,,,,,8448.526915528664,8017.919809774953,-1
2018-07-31,7117.440238154774,,,,,,,,,6768.222011886797,8448.526915528664,1
2018-08-31,6691.72268700271,,,,,,,,,7117.440233540389,6768.222011886797,-1
2018-09-30,6601.9073739938,,,,,,,,,6691.722677986037,7117.440233540389,1
2018-10-31,6466.427022388097,,,,,,,,,6601.907355949992,6691.722677986037,1
2018-11-30,5418.4506555118,,,,,,,,,6601.907355949992,6601.907355949992,-1
2018-12-31,3706.721992971097,,,,,,,,,8781.061539686423,6601.907355949992,-1
2019-01-31,3700.9789788971616,,,,,,,,,2324.6883578254715,8781.061539686423,1
2019-02-28,3684.304178729643,,,,,,,,,3052.824723600701,2324.6883578254715,-1
2019-03-31,3967.5075323255483,,,,,,,,,3993.7102013732265,3052.824723600701,-1
2019-04-30,5192.798320119433,,,,,,,,,3792.144142262033,3993.7102013732265,1
2019-05-31,7328.43242747371,,,,,,,,,6592.872745382523,3792.144142262033,-1
2019-06-30,9459.276524123066,,,,,,,,,6833.429673695132,6592.872745382523,-1
2019-07-31,10665.762998956485,,,,,,,,,12863.019414726401,6833.429673695132,-1
2019-08-31,10638.354335645548,,,,,,,,,10414.432031636747,12863.019414726401,1
2019-09-30,9790.626063024034,,,,,,,,,11092.459198406232,10414.432031636747,-1
2019-10-31,8378.027354935775,,,,,,,,,9760.386898672428,11092.459198406232,1
2019-11-30,8341.094340081932,,,,,,,,,7242.831964703773,9760.386898672428,1
2019-12-31,7250.414743898226,,,,,,,,,7334.765236680874,7242.831964703773,-1
2020-01-31,8374.879654620032,,,,,,,,,6994.815903340257,7334.765236680874,1
2020-02-29,9640.243270252242,,,,,,,,,8348.33966103589,6994.815903340257,-1
2020-03-31,6864.333847284645,,,,,,,,,11402.311671874533,8348.33966103589,-1
2020-04-30,7209.806932978333,,,,,,,,,6824.842438942019,11402.311671874533,1
2020-05-31,9254.770238523419,,,,,,,,,8910.88503998846,6824.842438942019,-1
2020-06-30,9481.311909576532,,,,,,,,,10308.901117814486,8910.88503998846,-1
2020-07-31,9587.949259549,,,,,,,,,10130.656588014721,10308.901117814486,1
2020-08-31,11640.004859841967,,,,,,,,,9177.208118007657,10130.656588014721,1
2020-09-30,10640.068730379466,,,,,,,,,12678.11935472773,9177.208118007657,-1
2020-10-31,11884.823813895098,,,,,,,,,10193.625802859511,12678.11935472773,1
2020-11-30,16653.11192609507,,,,,,,,,15106.02272813166,10193.625802859511,-1
2020-12-31,21995.850273326094,,,,,,,,,23699.780717800248,15106.02272813166,-1
2021-01-31,34745.62147346042,,,,,,,,,21881.057414674484,23699.780717800248,1
2021-02-28,46263.75155986557,,,,,,,,,38522.89245433201,21881.057414674484,-1
2021-03-31,54896.21450925761,,,,,,,,,41634.082511957866,38522.89245433201,-1
2021-04-30,57054.7802179735,,,,,,,,,63241.848100931325,41634.082511957866,-1
2021-05-31,46445.59666287974,,,,,,,,,74986.32357236886,63241.848100931325,-1
2021-06-30,35802.257436102205,,,,,,,,,32046.658518201482,74986.32357236886,1
2021-07-31,34420.195283338006,,,,,,,,,35908.999070838654,32046.658518201482,-1
2021-08-31,45709.44342757719,,,,,,,,,36198.699904079855,35908.999070838654,-1
2021-09-30,45906.041557834855,,,,,,,,,47134.67197541289,36198.699904079855,-1
2021-10-31,57890.784562035995,,,,,,,,,51643.55338854239,47134.67197541289,-1
2021-11-30,60670.169064884,,,,,,,,,67801.84104140365,51643.55338854239,-1
2021-12-31,49305.17004464288,,,,,,,,,50723.285744677276,67801.84104140365,1
2022-01-31,41088.0391693041,,,,,,,,,62681.630762491084,50723.285744677276,-1
2022-02-28,40744.34643677926,,,,,,,,,38249.41488505411,62681.630762491084,1
2022-03-31,41952.639862441065,,,,,,,,,46620.70964574012,38249.41488505411,-1
2022-04-30,41419.07593078983,,,,,,,,,50160.825903501056,46620.70964574012,-1
2022-05-31,31728.778818113635,,,,,,,,,42536.276052023895,50160.825903501056,1
2022-06-30,24386.740486291976,,,,,,,,,27710.120600917722,42536.276052023895,1
2022-07-31,21540.29164852058,,,,,,,,,22356.65411774613,27710.120600917722,1
2022-08-31,22353.96258412186,,,,,,,,,22039.345172054276,22356.65411774613,1
2022-09-30,19793.96907454643,,,,,,,,,20669.47457757006,22039.345172054276,1
2022-10-31,19646.086641753056,,,,,,,,,18803.98395321138,20669.47457757006,1
2022-11-30,18571.742336238312,,,,,,,,,19401.18228714063,18803.98395321138,-1
2022-11-30,,,,,,,,,,19401.18228714063,19401.18228714063,-1
2022-12-31,,,,,,,,,,14900.983853377295,19401.18228714063,1
2023-01-31,,,,,,,,,,14493.219467133551,14900.983853377295,1
2023-02-28,,,,,,,,,,15378.977037144383,14493.219467133551,-1
2023-03-31,,,,,,,,,,12415.016183044867,15378.977037144383,1
2023-04-30,,,,,,,,,,12696.929524845253,12415.016183044867,-1
2023-05-31,,,,,,,,,,13405.242127076992,12696.929524845253,-1
2023-06-30,,,,,,,,,,12302.93302441463,13405.242127076992,1
2023-07-31,,,,,,,,,,11726.070930414808,12302.93302441463,1
2023-08-31,,,,,,,,,,13085.64189314384,11726.070930414808,-1
2023-09-30,,,,,,,,,,11732.315897050916,13085.64189314384,1
2023-10-31,,,,,,,,,,12259.242493326145,11732.315897050916,-1
2023-11-30,,,,,,,,,,14315.299677744337,12259.242493326145,-1
2023-12-31,,,,,,,,,,14993.820387659132,14315.299677744337,-1
2024-01-31,,,,,,,,,,18804.5903437188,14993.820387659132,-1
2024-02-28,,,,,,,,,,18804.5903437188,18804.5903437188,-1
2024-03-31,,,,,,,,,,21274.71665623383,18804.5903437188,-1
2024-04-30,,,,,,,,,,21964.167093160304,21274.71665623383,-1
2024-05-31,,,,,,,,,,21077.28412538048,21964.167093160304,1
2024-06-30,,,,,,,,,,18110.174271283704,21077.28412538048,1
