,Close,Open,High,Low,Volume,Market Cap,Close_box,prices_box_diff,prices_box_diff2,forecast,forecast_shift,trade_call
2017-11-30,322.4051690726667,,,,,,,,,1.0,,-1
2017-12-31,467.24496642109676,,,,,,,,,322.40517190436617,1.0,-1
2018-01-31,573.5977552609032,,,,,,,,,467.2449641599439,322.40517190436617,-1
2018-02-28,423.9368625891429,,,,,,,,,573.5977451798717,467.2449641599439,-1
2018-03-31,280.30127582080644,,,,,,,,,423.936854955363,573.5977451798717,1
2018-04-30,235.546084445,,,,,,,,,280.30127339853493,423.936854955363,1
2018-05-31,291.1642825171613,,,,,,,,,235.54608512277747,280.30127339853493,1
2018-06-30,199.26984640763334,,,,,,,,,291.1642862295366,235.54608512277747,-1
2018-07-31,189.72349701167744,,,,,,,,,199.26984880766733,291.1642862295366,1
2018-08-31,154.74327366651613,,,,,,,,,189.7234982738826,199.26984880766733,1
2018-09-30,128.86874346543334,,,,,,,,,154.74327340622318,189.7234982738826,1
2018-10-31,120.10107711703226,,,,,,,,,128.86874253924293,154.74327340622318,1
2018-11-30,105.40958876426666,,,,,,,,,128.86874253924293,128.86874253924293,-1
2018-12-31,60.76588291325807,,,,,,,,,135.0442313163953,128.86874253924293,-1
2019-01-31,54.608898837322585,,,,,,,,,60.86136880960461,135.0442313163953,1
2019-02-28,50.91282756739286,,,,,,,,,49.04139173903079,60.86136880960461,1
2019-03-31,54.00427997819355,,,,,,,,,48.165415250316684,49.04139173903079,1
2019-04-30,68.48640910616668,,,,,,,,,59.245402769396144,48.165415250316684,-1
2019-05-31,70.36668332409677,,,,,,,,,88.10298652200696,59.245402769396144,-1
2019-06-30,96.78808727689999,,,,,,,,,51.19497335149343,88.10298652200696,1
2019-07-31,84.12996481419354,,,,,,,,,80.1736663505861,51.19497335149343,-1
2019-08-31,54.92950847812903,,,,,,,,,58.35058844433442,80.1736663505861,1
2019-09-30,44.74929949303333,,,,,,,,,41.40993170796594,58.35058844433442,1
2019-10-31,36.76251036519355,,,,,,,,,41.42966375601797,41.40993170796594,-1
2019-11-30,34.12252857883333,,,,,,,,,36.30719101588684,41.42966375601797,1
2019-12-31,29.145464202032258,,,,,,,,,28.46083703279207,36.30719101588684,1
2020-01-31,44.94622205235484,,,,,,,,,30.01127227932877,28.46083703279207,-1
2020-02-29,64.16498006048276,,,,,,,,,43.326934715781086,30.01127227932877,-1
2020-03-31,35.97165677716129,,,,,,,,,59.78372730718595,43.326934715781086,-1
2020-04-30,39.532585415233335,,,,,,,,,34.55636760715958,59.78372730718595,1
2020-05-31,45.57362886303226,,,,,,,,,36.790226695581325,34.55636760715958,-1
2020-06-30,52.8061579922,,,,,,,,,52.77000374965965,36.790226695581325,-1
2020-07-31,60.45198855096774,,,,,,,,,50.7868845642831,52.77000374965965,1
2020-08-31,83.51325359480646,,,,,,,,,46.96969621283341,50.7868845642831,1
2020-09-30,59.9191440591,,,,,,,,,70.81379629355209,46.96969621283341,-1
2020-10-31,63.553704064741936,,,,,,,,,46.00225218288023,70.81379629355209,1
2020-11-30,65.45641440343334,,,,,,,,,51.50755996567848,46.00225218288023,-1
2020-12-31,69.15232477641935,,,,,,,,,64.83377103744178,51.50755996567848,-1
2021-01-31,85.68417571248388,,,,,,,,,88.12875744453268,64.83377103744178,-1
2021-02-28,129.51921332678572,,,,,,,,,90.79432233429092,88.12875744453268,-1
2021-03-31,138.70007707729033,,,,,,,,,76.89779713556557,90.79432233429092,1
2021-04-30,218.47359133893332,,,,,,,,,168.88536711581887,76.89779713556557,-1
2021-05-31,226.60418379232175,,,,,,,,,361.1109079429106,168.88536711581887,-1
2021-06-30,131.49240198392548,,,,,,,,,137.29376503908378,361.1109079429106,1
2021-07-31,105.31622123833418,,,,,,,,,107.43334159761989,137.29376503908378,1
2021-08-31,140.7304791115408,,,,,,,,,105.78750966716596,107.43334159761989,1
2021-09-30,130.800711669298,,,,,,,,,102.58818492550962,105.78750966716596,1
2021-10-31,138.7776233790815,,,,,,,,,173.76798928736739,102.58818492550962,-1
2021-11-30,197.78729677619634,,,,,,,,,169.02535215269666,173.76798928736739,1
2021-12-31,168.77244279285733,,,,,,,,,163.83082187621736,169.02535215269666,1
2022-01-31,124.38279622167465,,,,,,,,,141.05321669058907,163.83082187621736,1
2022-02-28,113.15646184126078,,,,,,,,,108.51155639900149,141.05321669058907,1
2022-03-31,159.2777720195567,,,,,,,,,135.65571539581822,108.51155639900149,-1
2022-04-30,156.5988277405369,,,,,,,,,212.80496472829205,135.65571539581822,-1
2022-05-31,104.12100373834316,,,,,,,,,140.63954600328177,212.80496472829205,1
2022-06-30,73.99426839676954,,,,,,,,,106.3346707493308,140.63954600328177,1
2022-07-31,60.27190356474837,,,,,,,,,68.8840892835583,106.3346707493308,1
2022-08-31,68.9931141113353,,,,,,,,,56.31137295825823,68.8840892835583,1
2022-09-30,58.939802050001184,,,,,,,,,76.32356618478671,56.31137295825823,-1
2022-10-31,53.309316827481176,,,,,,,,,49.09410189216447,76.32356618478671,1
2022-11-30,43.150042935654675,,,,,,,,,49.182915441102615,49.09410189216447,-1
2017-06-30,,,,,,,,,,49.182915441102615,49.182915441102615,-1
2017-07-31,,,,,,,,,,49.182915441102615,49.182915441102615,-1
2017-08-31,,,,,,,,,,49.182915441102615,49.182915441102615,-1
2017-09-30,,,,,,,,,,49.182915441102615,49.182915441102615,-1
2017-10-31,,,,,,,,,,49.182915441102615,49.182915441102615,-1
2017-11-30,,,,,,,,,,1.0,49.182915441102615,1
2017-12-31,,,,,,,,,,322.40517190436617,1.0,-1
2018-01-31,,,,,,,,,,467.2449641599439,322.40517190436617,-1
2018-01-28,,,,,,,,,,467.2449641599439,467.2449641599439,-1
